# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-3-pro-preview
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 80
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=8485, candidates=11263, total=106540, time=97766ms, TPS=8680.280564680814.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠁⠰⠝⠀⠨⠅⠀⠗⠁⠰⠝⠤⠂⠠⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mi>r</mi><msub><mi>a</mi><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow></msub><mo>,</mo><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></math> | <math><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mi>r</mi><msub><mi>a</mi><mrow><mi>n</mi><mo>-</mo><mn>1</mn></mrow></msub><mo>,</mo><mi>n</mi><mo>≥</mo><mn>2</mn></math>
✗ | ⠰⠝ | <math><mi>n</mi></math> | <math><msub><mi></mi><mi>n</mi></msub></math>
✓ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠷⠂⠤⠗⠘⠝⠐⠾⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup><mo stretchy="false">)</mo></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mrow><mo>(</mo><mn>1</mn><mo>-</mo><msup><mi>r</mi><mi>n</mi></msup><mo>)</mo></mrow></mrow><mrow><mn>1</mn><mo>-</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></math>
✓ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><msub><mi>a</mi><mn>1</mn></msub><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><msub><mi>a</mi><mn>1</mn></msub><mrow><mn>1</mn><mo>-</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></math>
✗ | ⠠⠏⠷⠝⠠⠀⠗⠾⠀⠨⠅⠀⠹⠝⠯⠌⠷⠝⠤⠗⠾⠯⠼ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mi>r</mi><mo stretchy="false">)</mo><mo>!</mo></mrow></mfrac></mrow></math> | <math><mi>P</mi><mrow><mo>(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mrow><mo>(</mo><mi>n</mi><mo>-</mo><mi>r</mi><mo>)</mo></mrow><mo>!</mo></mrow></mfrac></math>
✗ | ⠹⠝⠯⠌⠗⠂⠯⠗⠆⠯⠀⠄⠄⠄⠀⠗⠰⠅⠐⠯⠼ | <math><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><msub><mi>r</mi><mn>1</mn></msub><mo>!</mo><msub><mi>r</mi><mn>2</mn></msub><mo>!</mo><mo>…</mo><msub><mi>r</mi><mi>k</mi></msub><mo>!</mo></mrow></mfrac></math> | <math><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mi>r</mi><mo>!</mo><mrow><mo>(</mo><mi>n</mi><mo>-</mo><mi>r</mi><mo>)</mo></mrow><mo>!</mo></mrow></mfrac><mo>...</mo><mi>n</mi><mi>C</mi><mi>r</mi></math>
✗ | ⠷⠗⠬⠂⠾⠞⠓ | <math><mrow><mo stretchy="false">(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mi>t</mi><mi>h</mi></mrow></math> | <math><msup><mrow><mo>(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo>)</mo></mrow><mi>th</mi></msup></math>
✓ | ⠠⠏⠷⠠⠑⠾⠀⠨⠅⠀⠹⠝⠷⠠⠑⠾⠌⠝⠷⠠⠎⠾⠼ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <math><mi>P</mi><mrow><mo>(</mo><mi>E</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><mi>n</mi><mrow><mo>(</mo><mi>E</mi><mo>)</mo></mrow></mrow><mrow><mi>n</mi><mrow><mo>(</mo><mi>S</mi><mo>)</mo></mrow></mrow></mfrac></math>
✓ | ⠠⠏⠷⠠⠑⠨⠬⠠⠋⠾⠀⠨⠅⠀⠠⠏⠷⠠⠑⠾⠬⠠⠏⠷⠠⠋⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo stretchy="false">)</mo><mo>=</mo><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>+</mo><mi>P</mi><mo stretchy="false">(</mo><mi>F</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>P</mi><mrow><mo>(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo>)</mo></mrow><mo>=</mo><mi>P</mi><mrow><mo>(</mo><mi>E</mi><mo>)</mo></mrow><mo>+</mo><mi>P</mi><mrow><mo>(</mo><mi>F</mi><mo>)</mo></mrow></math>
✓ | ⠭⠀⠨⠅⠀⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼ | <math><mrow><mi>x</mi><mo>=</mo><mfrac><mrow><mo>−</mo><mi>b</mi><mo>±</mo><msqrt><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>a</mi><mi>c</mi></mrow></msqrt></mrow><mrow><mn>2</mn><mi>a</mi></mrow></mfrac></mrow></math> | <math><mi>x</mi><mo>=</mo><mfrac><mrow><mo>-</mo><mi>b</mi><mo>±</mo><msqrt><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>-</mo><mn>4</mn><mi>a</mi><mi>c</mi></mrow></msqrt></mrow><mrow><mn>2</mn><mi>a</mi></mrow></mfrac></math>
✓ | ⠽⠤ | <math><mrow><mi>y</mi><mtext>-</mtext></mrow></math> | <math><mi>y</mi><mo>-</mo></math>
✓ | ⠋⠷⠁⠾⠀⠁⠝⠙⠀⠋⠷⠃⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>b</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>a</mi><mo>)</mo></mrow><mtext>and</mtext><mi>f</mi><mrow><mo>(</mo><mi>b</mi><mo>)</mo></mrow></math>
✓ | ⠰⠁ | <math><mi>a</mi></math> | <math><mi>a</mi></math>
✓ | ⠭⠤⠅⠸⠲ | <math><mrow><mi>x</mi><mo>−</mo><mi>k</mi><mo>.</mo></mrow></math> | <math><mi>x</mi><mo>-</mo><mi>k</mi><mo>.</mo></math>
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠷⠭⠤⠅⠾ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mi>k</mi><mo>)</mo></mrow></math>
✓ | ⠷⠭⠤⠉⠾⠠ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | <math><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mi>c</mi><mo>)</mo></mrow><mo>,</mo></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></math>
✗ | ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠ | <math><mrow><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>=</mo><msub><mi>x</mi><mn>1</mn></msub><mo>,</mo><msub><mi>x</mi><mn>2</mn></msub><mo>,</mo><mo>...</mo><mo>,</mo><msub><mi>x</mi><mi>n</mi></msub><mo>,</mo></math>
✗ | ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠ | <math><mrow><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any </mtext><msub><mi>v</mi><mi>j</mi></msub><mo>,</mo></mrow></math> | <math><msub><mi>x</mi><mi>i</mi></msub><mo>=</mo><mtext>any</mtext><msub><mi>v</mi><mi>j</mi></msub><mo>,</mo></math>
✓ | ⠋⠘⠤⠂ | <math><msup><mi>f</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup></math> | <math><msup><mi>f</mi><mrow><mo>-</mo><mn>1</mn></mrow></msup></math>
✓ | ⠰⠋ | <math><mi>f</mi></math> | <math><mi>f</mi></math>
✓ | ⠰⠭⠠ | <math><mrow><mi>x</mi><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>,</mo></math>
✓ | ⠰⠭ | <math><mi>x</mi></math> | <math><mi>x</mi></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠢⠠⠴⠴⠴⠭⠤⠴⠨⠂⠭⠘⠆⠐⠬⠂⠴⠴⠴⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><mn>15</mn><mo>,</mo><mn>000</mn><mi>x</mi><mo>-</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo><mn>000</mn></mrow><mi>x</mi></mfrac></math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠤⠠⠿⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>–</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mrow><mo>(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo>)</mo></mrow><mtext>as</mtext><mi>x</mi><mo>→</mo><mo>-</mo><mo>∞</mo><mo>.</mo></math>
✓ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mrow><mo>(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo>)</mo></mrow><mtext>as</mtext><mi>x</mi><mo>→</mo><mo>∞</mo><mo>.</mo></math>
✗ | ⠭⠀⠐⠅⠀⠁ | <math><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></math> | <math><mi>x</mi><mo>→</mo><mi>a</mi></math>
✗ | ⠭⠀⠨⠂⠀⠁ | <math><mrow><mi>x</mi><mo>&gt;</mo><mi>a</mi></mrow></math> | <math><mi>x</mi><mo>→</mo><mi>a</mi></math>
✓ | ⠭⠀⠫⠕⠀⠤⠠⠿ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>x</mi><mo>→</mo><mo>-</mo><mo>∞</mo></math>
✓ | ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mo>-</mo><mo>∞</mo></math>
✗ | ⠭⠀⠨⠅⠀⠼⠴⠸⠆ | <math><mrow><mi>x</mi><mo>=</mo><mn>0</mn><mo>;</mo></mrow></math> | <math><mi>x</mi><mo>=</mo><msup><mn>0</mn><mn>2</mn></msup></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mtext>As</mtext><mi>x</mi><mo>→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mo>∞</mo><mo>.</mo></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠁⠘⠤⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠀⠕⠗⠀⠭⠀⠫⠕⠀⠁⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>–</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mtext> or </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mtext>As</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><msup><mi>a</mi><mo>-</mo></msup><mo>,</mo><mspace width="thickmathspace"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mo>±</mo><mi>∞</mi><mspace width="thickmathspace"/><mtext>or</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><msup><mi>a</mi><mo>+</mo></msup><mo>,</mo><mspace width="thickmathspace"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mo>±</mo><mi>∞</mi><mo>.</mo></math>
✓ | ⠽⠀⠨⠅⠀⠼⠴⠨ | <math><mrow><mi>y</mi><mo>=</mo><mn>0.</mn></mrow></math> | <math><mi>y</mi><mo>=</mo><mn>0.</mn></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠕⠗⠀⠭⠀⠫⠕⠀⠤⠠⠿⠠⠀⠐⠅⠍⠞⠑⠭⠞⠸⠌⠨⠂⠋⠷⠭⠾⠀⠫⠕⠀⠃⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mspace width="0.5em"></mspace><mtext>or </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mspace width="0.5em"></mspace><mtext>&lt;mtext/&gt;</mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>b</mi><mo>.</mo></mrow></math> | <math><mtext>As</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><mi>∞</mi><mspace width="thickmathspace"/><mtext>or</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><mo>-</mo><mi>∞</mi><mo>,</mo><mspace width="thickmathspace"/><mtext>kmtext/.,</mtext><mspace width="thickmathspace"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mi>b</mi><mo>.</mo></math>
✓ | ⠭⠀⠨⠅⠀⠼⠆⠨ | <math><mrow><mi>x</mi><mo>=</mo><mn>2.</mn></mrow></math> | <math><mi>x</mi><mo>=</mo><mn>2.</mn></math>
✓ | ⠽⠀⠨⠅⠀⠼⠲⠨ | <math><mrow><mi>y</mi><mo>=</mo><mn>4.</mn></mrow></math> | <math><mi>y</mi><mo>=</mo><mn>4.</mn></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠬⠆⠼⠬⠒ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mn>3</mn></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mn>1</mn><mrow><mi>x</mi><mo>+</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mn>3</mn></math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠆⠠ | <math><mrow><mi>x</mi><mo>=</mo><mn>−2</mn><mo>,</mo></mrow></math> | <math><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn><mo>,</mo></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿⠠⠀⠁⠝⠙⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>−</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi><mo>,</mo><mtext>and as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><msup><mn>2</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <math><mtext>As</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><msup><mrow><mo>-</mo><mn>2</mn></mrow><mo>-</mo></msup><mo>,</mo><mspace width="thickmathspace"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mo>-</mo><mi>∞</mi><mo>,</mo><mspace width="thickmathspace"/><mtext>and</mtext><mspace width="thickmathspace"/><mtext>as</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><msup><mrow><mo>-</mo><mn>2</mn></mrow><mo>+</mo></msup><mo>,</mo><mspace width="thickmathspace"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mi>∞</mi><mo>.</mo></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠬⠤⠠⠿⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠼⠒⠨ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><mo>±</mo><mi>∞</mi><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mn>3.</mn></mrow></math> | <math><mtext>As</mtext><mspace width="thickmathspace"/><mi>x</mi><mo>→</mo><mo>±</mo><mi>∞</mi><mo>,</mo><mspace width="thickmathspace"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>→</mo><mn>3.</mn></math>
✓ | ⠠⠏⠷⠭⠾⠀⠁⠝⠙⠀⠠⠟⠷⠭⠾⠸⠲ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>Q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></mrow></math> | <math><mi>P</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="thickmathspace"/><mtext>and</mtext><mspace width="thickmathspace"/><mi>Q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>.</mo></math>
✓ | ⠰⠞ | <math><mi>t</mi></math> | <math><mi>t</mi></math>
✓ | ⠰⠠⠉ | <math><mi>C</mi></math> | <math><mi>C</mi></math>
✓ | ⠠⠉⠷⠞⠾ | <math><mrow><mi>C</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math> | <math><mi>C</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠠⠉⠷⠂⠆⠾⠀⠨⠅⠀⠹⠢⠬⠂⠆⠌⠂⠴⠴⠬⠂⠴⠷⠂⠆⠾⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠂⠶⠌⠆⠆⠴⠼ | <math><mtable><mtr rowalign="center"><mtd columnalign="right"><mrow><mi>C</mi><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>12</mn></mrow><mrow><mn>100</mn><mo>+</mo><mn>10</mn><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mn>17</mn><mn>220</mn></mfrac></mtd></mtr></mtable></math> | <math><mi>C</mi><mrow><mo>(</mo><mn>12</mn><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><mn>5</mn><mo>+</mo><mn>12</mn></mrow><mrow><mn>100</mn><mo>+</mo><mn>10</mn><mrow><mo>(</mo><mn>12</mn><mo>)</mo></mrow></mrow></mfrac><mo>⇒</mo><mo>■</mo><mo>=</mo><mfrac><mn>17</mn><mn>220</mn></mfrac></math>
✗ | ⠹⠂⠶⠌⠆⠆⠴⠼⠀⠈⠱⠈⠱⠀⠼⠴⠨⠴⠦⠀⠨⠂⠀⠹⠂⠌⠆⠴⠼⠀⠨⠅⠀⠼⠴⠨⠴⠢⠠ | <math><mrow><mfrac><mn>17</mn><mn>220</mn></mfrac><mo>≈</mo><mn>0.08</mn><mo>&gt;</mo><mfrac><mn>1</mn><mn>20</mn></mfrac><mo>=</mo><mn>0.05</mn><mo>,</mo></mrow></math> | <math><mfrac><mn>17</mn><mn>220</mn></mfrac><mo>≈</mo><mn>0.08</mn><mo>,</mo><mspace width="thickmathspace"/><mfrac><mn>1</mn><mn>20</mn></mfrac><mo>=</mo><mn>0.05</mn><mo>,</mo></math>
✗ | ⠭⠘⠆⠐⠤⠔⠀⠨⠅⠀⠼⠴⠀⣍⠭⠘⠆⠀⠨⠅⠀⠼⠔⠀⣍⠭⠀⠨⠅⠀⠬⠤⠒ | <math><mtable><mtr><mtd columnalign="right"><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>9</mn></mrow></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>0</mn></mtd></mtr><mtr><mtd columnalign="right"><msup><mi>x</mi><mn>2</mn></msup></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>9</mn></mtd></mtr><mtr><mtd columnalign="right"><mi>x</mi></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>±3</mn></mtd></mtr></mtable></math> | <math><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>9</mn><mo>=</mo><mn>0</mn><mo>⇒</mo><msup><mi>x</mi><mn>2</mn></msup><mo>=</mo><mn>9</mn><mo>⇒</mo><mi>x</mi><mo>=</mo><mo>±</mo><mn>3</mn></math>
✓ | ⠭⠀⠨⠅⠀⠼⠒ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn></mrow></math> | <math><mi>x</mi><mo>=</mo><mn>3</mn></math>
